ID,Objeto,Valor,Peso_kg
1,Laptop Pro,150,15
2,Generador Eléctrico,450,80
3,Kit de Herramientas,60,12
4,Panel Solar,200,40
5,Batería Litio,180,35
6,Monitor Curvo,70,20
7,Drone de Inspección,220,18
8,Caja de Repuestos,120,25
9,Impresora 3D,300,45
10,Kit Médico,110,10
11,Unidad de Almacenamiento,80,12
12,Compresor Aire,250,55
13,Soldadora Inverter,190,38
14,Escáner Láser,310,30
15,Módulo Satelital,280,42
16,Taladro Industrial,90,22
17,Cámara Térmica,160,14
18,Microscopio Digital,140,18
19,Router Industrial,100,15
20,GPS Diferencial,130,12
