semilla,mejor_fitness,accuracy_test,parametros,arquitectura
42,0.9925925925925926,1.0,9198,"(16, 127, 52)"
123,0.9849002849002849,0.9777777777777777,2667,"(16, 122)"
456,0.9925925925925926,0.9555555555555556,8525,"(16, 85, 77)"
789,0.9925925925925926,0.9555555555555556,1275,"(16, 8, 76)"
1011,0.9925925925925926,0.9777777777777777,347,"(16, 6)"
1213,0.9846153846153847,0.9555555555555556,647,"(16, 21)"
1415,0.9925925925925926,0.9777777777777777,1767,"(16, 77)"
1617,0.9925925925925926,0.9555555555555556,1307,"(16, 54)"
1819,0.9849002849002849,0.9777777777777777,2727,"(16, 103, 7)"
2021,0.9849002849002849,0.9777777777777777,1527,"(16, 65)"
